"site","date","sample_id","life_stage","size_class_1","size_class_2","size_class_3","size_class_4","size_class_5","size_class_6","size_class_7","size_class_8","size_class_9","size_class_10","size_class_11","size_class_12","size_class_13","size_class_14","size_class_15","size_class_16","size_class_17","size_class_18","size_class_19","size_class_20","size_class_21","size_class_22","size_class_23","size_class_24","size_class_25","size_class_26","size_class_27","sum"
"P",2016-04-21,"P_2016-04-21","fo",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2
"P",2016-04-21,"P_2016-04-21","fn",0,0,0,0,1,1,3,0,3,3,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
"P",2016-04-21,"P_2016-04-21","j",6,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
"P",2016-04-21,"P_2016-04-21","sum",6,0,0,4,1,1,3,0,3,3,1,2,1,2,0,1,1,0,0,0,0,2,0,0,0,0,0,31
"P",2016-06-25,"P_2016-06-25","m",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P",2016-06-25,"P_2016-06-25","fo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P",2016-06-25,"P_2016-06-25","fn",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"P",2016-06-25,"P_2016-06-25","j",17,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
"P",2016-06-25,"P_2016-06-25","sum",17,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
"Q",2016-04-21,"Q_2016-04-21","m",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,1,0,0,0,5
"Q",2016-04-21,"Q_2016-04-21","fo",0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,5
"Q",2016-04-21,"Q_2016-04-21","fn",0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,7
"Q",2016-04-21,"Q_2016-04-21","j",37,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39
