"site","date","sample_id","phylum","class","sub_class","order","family","genus","species","abundance","origin"
"L","2016-06-24","L_2016-06-24","Arthropoda","Insecta",NA,"Ephemeroptera","Leptophlebiidae","Habrophlebia",NA,2,1
"L","2016-06-24","L_2016-06-24","Arthropoda","Insecta",NA,"Plecoptera","Leuctridae","Leuctra",NA,1,1
"L","2016-06-24","L_2016-06-24","Arthropoda","Insecta",NA,"Trichoptera","Limnephilidae","Chaetopteryx","Chaetopteryx villosa",1,2
"L","2016-06-24","L_2016-06-24","Arthropoda","Insecta",NA,"Coleoptera","Elmidae","Esolus",NA,3,2
"M","2016-06-24","M_2016-06-24","Annelida","Clitellata","Oligochaeta",NA,NA,NA,NA,21,1
"M","2016-06-24","M_2016-06-24","Arthropoda","Malacostraca",NA,"Amphipoda","Gammaridae","Gammarus","Gammarus balcanicus",507,1
"M","2016-06-24","M_2016-06-24","Arthropoda",NA,"Ostracoda",NA,NA,NA,NA,5,1
"M","2016-06-24","M_2016-06-24","Arthropoda","Insecta",NA,"Diptera","Chironomidae",NA,NA,10,1
"M","2016-06-24","M_2016-06-24","Arthropoda","Insecta",NA,"Diptera","Simuliidae",NA,NA,72,1
"M","2016-06-24","M_2016-06-24","Arthropoda","Insecta",NA,"Diptera","Tabanidae",NA,NA,1,1
"M","2016-06-24","M_2016-06-24","Arthropoda","Insecta",NA,"Ephemeroptera","Baetidae","Baetis",NA,20,1
"M","2016-06-24","M_2016-06-24","Arthropoda","Insecta",NA,"Ephemeroptera","Ephemerellidae","Serratella",NA,5,1
"M","2016-06-24","M_2016-06-24","Arthropoda","Insecta",NA,"Trichoptera","Limnephilidae",NA,NA,1,1
"M","2016-06-24","M_2016-06-24","Arthropoda","Insecta",NA,"Ephemeroptera","Ephemerellidae","Serratella","Serratella ignita",12,2
"N","2016-06-24","N_2016-06-24","Annelida","Clitellata","Oligochaeta",NA,NA,NA,NA,34,1
"N","2016-06-24","N_2016-06-24","Arthropoda","Malacostraca",NA,"Amphipoda","Gammaridae","Gammarus","Gammarus balcanicus",178,1
"N","2016-06-24","N_2016-06-24","Arthropoda","Arachnida","Acari","Trombidiformes",NA,NA,NA,8,1
"N","2016-06-24","N_2016-06-24","Arthropoda","Insecta",NA,"Coleoptera","Hydraenidae",NA,NA,2,1
"N","2016-06-24","N_2016-06-24","Arthropoda","Insecta",NA,"Diptera","Ceratopogonidae",NA,NA,1,1
"N","2016-06-24","N_2016-06-24","Arthropoda","Insecta",NA,"Diptera","Chironomidae",NA,NA,37,1
"N","2016-06-24","N_2016-06-24","Arthropoda","Insecta",NA,"Diptera","Dixidae",NA,NA,13,1
"N","2016-06-24","N_2016-06-24","Arthropoda","Insecta",NA,"Diptera","Limoniidae",NA,NA,17,1
"N","2016-06-24","N_2016-06-24","Arthropoda","Insecta",NA,"Diptera","Simuliidae",NA,NA,46,1
"N","2016-06-24","N_2016-06-24","Arthropoda","Insecta",NA,"Ephemeroptera","Baetidae","Baetis",NA,313,1
